Artikelnummer,Artikelname,Beschreibung,Preis,Artikelurl,Bild-URL,Hersteller,Produktgruppenkey,Produktgruppe,EAN,HBNR,Versandkostentext,Menge,Versandkosten Vorkasse DE,Max. Abgabemenge,Energieeffizienzklasse
1003-13Y,1003-13Y,"• Prozessor: 3,0 GHz Quad-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2400 RAM • Speicher: 1 TB SATA • Grafik: Radeon Pro 555 mit 2 GB GDDR5 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","977,33",https://www.cyberport.de/?DEEP=1003-13Y,https://cyberport.scene7.com/is/image/cyberport/170606190122800701900049O/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,190198085665,MNDY2D/A,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",50,5.95,,
1003-13Z,"Apple iMac 21,5"" Retina 4K 2017 3,4/8/1TB Fusion Drive MNE02D/A","• Prozessor: 3,4 GHz Quad-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2400 RAM • Speicher: 1 TB Fusion Drive • Grafik: Radeon Pro 560 mit 4 GB GDDR5 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1116,81",https://www.cyberport.de/?DEEP=1003-13Z,https://cyberport.scene7.com/is/image/cyberport/170606193116100701900049B/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,190198086105,MNE02D/A,"Versandkosten: ab 0.00 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",50,0,,
1003-193,"Apple iMac 21,5"" Retina 4K 2019 3,0/8/1TB Fusion Drive MRT42D/A","• Prozessor: 3,0 GHz Hexa-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2666 RAM • Speicher: 1 TB Fusion Drive • Grafik: Radeon Pro 560X mit 4 GB GDDR5 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1248,74",https://www.cyberport.de/?DEEP=1003-193,https://cyberport.scene7.com/is/image/cyberport/190321111753300301900068Y/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,190198759320,MRT42D/A,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",10,5.95,,
1003-194,"Apple iMac 21,5"" Retina 4K 2019 3,6/8/1TB SATA MRT32D/A","• Prozessor: 3,6 GHz Quad-Core Intel Core i3 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2400 RAM • Speicher: 1 TB SATA • Grafik: Radeon Pro 555X mit 2 GB GDDR5 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1071,89",https://www.cyberport.de/?DEEP=1003-194,https://cyberport.scene7.com/is/image/cyberport/190321131818500301900068E/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,190198758897,MRT32D/A,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",10,5.95,,
1003-195,"Apple iMac 21,5"" Retina 4K 2019 3,0/8/1TB Fusion Drive RP560X Num BTO","• Prozessor: 3,0 GHz Hexa-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2666 RAM • Speicher: 1 TB Fusion Drive • Grafik: Radeon Pro 560X mit 4 GB GDDR5 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1330,28",https://www.cyberport.de/?DEEP=1003-195,https://cyberport.scene7.com/is/image/cyberport/190322111102400701900046L/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,4060838270613,Z0VY,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",1,5.95,,
1003-196,"Apple iMac 21,5"" Retina 4K 2019 3,0/8/1TB Fusion Drive Vega20 MM+MK BTO","• Prozessor: 3,0 GHz Hexa-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2666 RAM • Speicher: 1 TB Fusion Drive • Grafik: Radeon Pro Vega 20 mit 4 GB HBM2 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1612,64",https://www.cyberport.de/?DEEP=1003-196,https://cyberport.scene7.com/is/image/cyberport/190322112229800701900102O/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,4060838271467,Z0VY,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",0,5.95,,
1003-197,"Apple iMac 21,5"" Retina 4K 2019 3,0/8/1TB Fusion Drive Vega20 MM+Num BTO","• Prozessor: 3,0 GHz Hexa-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2666 RAM • Speicher: 1 TB Fusion Drive • Grafik: Radeon Pro Vega 20 mit 4 GB HBM2 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1661,04",https://www.cyberport.de/?DEEP=1003-197,https://cyberport.scene7.com/is/image/cyberport/190322124158300301900046H/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,4060838271634,Z0VY,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",0,5.95,,
1003-198,"Apple iMac 21,5"" Retina 4K 2019 3,0/8/256GB SSD RP560X MM+MK BTO","• Prozessor: 3,0 GHz Hexa-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2666 RAM • Speicher: 256 GB SSD • Grafik: Radeon Pro 560X mit 4 GB GDDR5 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1386,76",https://www.cyberport.de/?DEEP=1003-198,https://cyberport.scene7.com/is/image/cyberport/190322130138200301900046W/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,4005922742577,Z0VY,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",1,5.95,,
1003-199,"Apple iMac 21,5"" Retina 4K 2019 3,0/8/256GB SSD RP560X MM+Num BTO","• Prozessor: 3,0 GHz Hexa-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2666 RAM • Speicher: 256 GB SSD • Grafik: Radeon Pro 560X mit 4 GB GDDR5 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1419,02",https://www.cyberport.de/?DEEP=1003-199,https://cyberport.scene7.com/is/image/cyberport/190322131037800301900102E/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,4060838272655,Z0VY,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",1,5.95,,
1003-19A,"Apple iMac 21,5"" Retina 4K 2019 3,0/8/256GB SSD Vega20 MM+MK BTO","• Prozessor: 3,0 GHz Hexa-Core Intel Core i5 Prozessor • Arbeitsspeicher: 8 GB DDR 4 - 2666 RAM • Speicher: 256 GB SSD • Grafik: Radeon Pro Vega 20 mit 4 GB HBM2 Grafikspeicher • Display: 21,5 Zoll (54,61 cm) Retina 4K Display mit 4.096 x 2.304 Pixe","1709,44",https://www.cyberport.de/?DEEP=1003-19A,https://cyberport.scene7.com/is/image/cyberport/190322131351600301900158E/?wid=400&hei=400&fmt=png,Apple,10,Apple-Desktops,4060838273508,Z0VY,"Versandkosten: ab 5.95 EUR bei Vorauskasse, Nachnahme zzgl. 4,00 EUR",0,5.95,,
